transaction_id,customer_code,product_code,sale_date,quantity,unit_price,discount,payment_method
TXN001,CUST001,PROD001,2024-07-15,2,999.99,50.0,CREDIT_CARD
TXN002,CUST002,PROD002,2024-07-15,1,15.50,2.0,DEBIT_CARD
TXN003,CUST001,PROD003,2024-07-16,3,45.00,5.0,CASH
TXN004,CUST003,PROD001,2024-07-16,1,999.99,0.0,CREDIT_CARD
TXN005,CUST004,PROD004,2024-07-17,2,299.99,30.0,PAYPAL
TXN006,CUST002,PROD001,2024-07-18,1,999.99,100.0,CREDIT_CARD
TXN007,CUST005,PROD002,2024-07-18,4,15.50,3.0,DEBIT_CARD
TXN008,CUST003,PROD003,2024-07-19,2,45.00,0.0,CASH
TXN009,CUST001,PROD004,2024-07-19,1,299.99,15.0,PAYPAL
TXN010,CUST004,PROD002,2024-07-19,5,15.50,5.0,CREDIT_CARD
TXN011,CUST005,PROD005,2024-07-20,1,65.50,10.0,CREDIT_CARD
TXN012,CUST002,PROD003,2024-07-20,2,45.00,0.0,DEBIT_CARD
TXN013,CUST003,PROD004,2024-07-20,1,299.99,20.0,PAYPAL
TXN014,CUST001,PROD005,2024-07-21,3,65.50,0.0,CASH
TXN015,CUST004,PROD001,2024-07-21,1,999.99,0.0,CREDIT_CARD
